Modèle,Best accuracy,Best recall,Best cost,Best precision Score,True Positives,True Negatives,Sampling,Standardisation,Feature,sampling,standardisation,Best param,feature
Random forest,0.72,0.91,322,0.13,41,679,,,,undersampling,MinMaxScaler(),"{'class_weight': 'balanced', 'max_depth': 1, 'n_estimators': 10}",age
Logistic Regression,0.72,0.91,322,0.13,41,679,,,,undersampling,MinMaxScaler(),"{'C': 0.01, 'class_weight': {0: 2.0, 1: 2.0}, 'penalty': 'l2'}",age
SVM,0.61,1.0,392,0.1,45,569,,,,undersampling,MinMaxScaler(),"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",age
Random forest,0.72,0.91,322,0.13,41,679,,,,oversampling,MinMaxScaler(),"{'class_weight': 'balanced', 'max_depth': 1, 'n_estimators': 75}",age
Logistic Regression,0.72,0.91,322,0.13,41,679,,,,oversampling,MinMaxScaler(),"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l2'}",age
SVM,0.53,1.0,472,0.09,45,489,,,,oversampling,MinMaxScaler(),"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",age
Random forest,0.72,0.91,322,0.13,41,679,,,,,MinMaxScaler(),"{'class_weight': 'balanced', 'max_depth': 1, 'n_estimators': 10}",age
Logistic Regression,0.72,0.91,322,0.13,41,679,,,,,MinMaxScaler(),"{'C': 0.001, 'class_weight': {0: 1.053127453546192, 1: 19.822660098522167}, 'penalty': 'l2'}",age
SVM,0.96,0.0,450,0.0,0,961,,,,,MinMaxScaler(),"{'C': 0.001, 'gamma': 0.1, 'kernel': 'linear'}",age
Random forest,0.68,0.91,360,0.11,41,641,,,,undersampling,RobustScaler(),"{'class_weight': 'balanced', 'max_depth': None, 'n_estimators': 20}",age
Logistic Regression,0.72,0.91,322,0.13,41,679,,,,undersampling,RobustScaler(),"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l2'}",age
SVM,0.29,1.0,713,0.06,45,248,,,,undersampling,RobustScaler(),"{'C': 0.01, 'gamma': 1, 'kernel': 'poly'}",age
Random forest,0.77,0.84,293,0.15,38,738,,,,oversampling,RobustScaler(),"{'class_weight': 'balanced', 'max_depth': None, 'n_estimators': 75}",age
Logistic Regression,0.72,0.91,322,0.13,41,679,,,,oversampling,RobustScaler(),"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l2'}",age
SVM,0.19,1.0,819,0.05,45,142,,,,oversampling,RobustScaler(),"{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",age
Random forest,0.72,0.91,322,0.13,41,679,,,,,RobustScaler(),"{'class_weight': 'balanced', 'max_depth': 1, 'n_estimators': 10}",age
Logistic Regression,0.72,0.91,322,0.13,41,679,,,,,RobustScaler(),"{'C': 0.001, 'class_weight': 'balanced', 'penalty': 'l2'}",age
SVM,0.96,0.0,450,0.0,0,961,,,,,RobustScaler(),"{'C': 0.001, 'gamma': 0.1, 'kernel': 'linear'}",age
Random forest,0.26,0.84,811,0.05,38,220,,,,undersampling,MinMaxScaler(),"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 10}",bmi
